Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,ADA n=2 | King2024 | Natural History Museum | (NHM)Position Sensitive Detector X-ray Diffraction,ADA n=1 | King2024 | NASA Johnson Space Center | (JSC-ARES)Malvern PANalytical XPert Pro XRD,ADA n=1 | King2023 | Natural History Museum | Rigaku Rapid 2 Micro-XRD
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,Powder on zero-background holder | Powder in capillary | Pressed pellet | Polished section | Grain mounted on fibre | As-received fragment | N/A | None,Source: Core module,2026-09-06,(none),,,N,N,N
Sample Mount,"The holder or mounting geometry the specimen is presented in. Distinct from Sample Preparation Method, which states how the material was brought to that form.",Basic,Editable,Controlled list / Text,Zero-background holder | Capillary (transmission) | Flat plate (reflection) | Spinner stage | Fibre mount | N/A | None,,2026-09-06,(none),Mount geometry drives the peak-shape and absorption corrections a reanalysis needs.,,N,N,N
Sampling Unit Selection Criteria,"The rules governing which sampling unit(s) within a sample are selected for analysis, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for, and from Sampling Unit, which names the kind of subdivision one row of reported values corresponds to: this field states how, within such a sample, the unit actually analysed is picked out.",Basic,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,(none),,,N,N,N
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the sampling unit to be analysed, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,sample,,,N,N,N
,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Malvern PANalytical | Rigaku | Bruker | Custom-built | Unknown | N/A | None,Source: Core module,2026-09-06,(none),,,Custom-built,Malvern PANalytical,Rigaku
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'XPert Pro' | 'Rapid 2 Micro-XRD'",Source: Core module,2026-09-06,(none),,,(NHM)Position Sensitive Detector X-ray Diffraction,(JSC-ARES)Malvern PANalytical XPert Pro XRD,Rigaku Rapid 2 Micro-XRD
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'HighScore Plus 4.9' | 'RINT RAPID control'",Source: Core module,2026-09-06,(none),,,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'HighScore Plus 4.9' | 'GSAS-II'",Source: Core module,2026-09-06,(none),,,N,N,N
Diffractometer Geometry,Optical geometry of the diffractometer.,Basic,Read-Only,Controlled list / Text,Bragg-Brentano (theta-2theta) | Debye-Scherrer (transmission) | Parallel beam | Micro-focus with area detector | N/A | None,,2026-09-06,(none),,,N,N,N
X-ray Wavelength,"Wavelength of the incident radiation, with the anode and any monochromator that selects it.",Basic,Read-Only,Numeric + unit,"e.g., '1.5406 Angstrom (Cu K-alpha1)' | '0.7093 Angstrom (Mo K-alpha)'",,2026-09-06,(none),,,N,N,N
,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,Powder diffraction | Micro-diffraction,Source: Core module,2026-09-06,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability.",,N,N,N
Step Size,Angular increment between recorded points.,Basic,Editable,Numeric (degrees 2-theta),"e.g., '0.017'",,2026-09-06,(none),,,N,N,N
Time per Step,Counting time at each angular step.,Basic,Editable,Numeric (s),"e.g., '50'",,2026-09-06,(none),,,N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,defines: reported property,,,Angle (degrees 2theta) | Intensity (counts),Angle (degrees 2theta) | Intensity (counts),Angle (degrees 2theta) | Intensity (counts)
,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-09-06,reported property,,,N,N,N
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., 'ICDD PDF-4+ 2024 reference patterns'",Source: Core module,2026-09-06,(none),,,N,N,N
,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-09-06,(none),,,N,N,N
,,,,,,,,,,,,,
