Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spectral Point,Overview Image,Spectral Map,Literature Assessment,ADA n=19 | Hiroi2023 | Brown U. | Thermo/Nicolet Nexus 870 FTIR,ADA n=13 | Hiroi2023 | Brown U. | Custom bi-directional,ADA n=2 | Milliken2024 | Brown U. | Bruker LUMOS FTIR microscope,ADA n=1 | Keller2024 | NASA Johnson Space Center | JEOL 2500SE
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,20240514_vnmir_brown_orex-803124-0_1 | 20240918_vnmir_brown_orex-803119-100_1 | (+8 more),20240917_vnmir_brown_orex-803119-102_1 | 20240916_vnmir_brown_orex-803119-100_1 | (+6 more),20231113_vnmir_brown_orex-800029-0_1,20230929_vnmir_jsc-ares_orex-501006-0_1
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,"Hiroi, Takahiro","Hiroi, Takahiro","Milliken, Ralph","Keller, Lindsay"
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,2023-11-14 | 2024-03-28 | (+7 more),2023-11-14 | 2024-09-16 | (+4 more),2024-01-19,2024-04-17
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,This material is supported by NASA PSEF grant. | NASA PSEF | (+1 more),This material is supported by NASA PSEF grant. | This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program and NASA Planetary Science Enabling Facilities program 80NSSC23K0198. | (+1 more),This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Name the instrument, laboratory or purpose alongside each technique where known, and join multiple techniques with '; '. Enter ""None"" if no coupling is intended.",Advanced,Editable,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'OREX-800045-103' | 'Murchison chip 4b'",Source: Core module,2026-09-06,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,,OREX-803124-0 | OREX-803119-100 | OREX-800029-0 | (+4 more),OREX-803119-102 | OREX-803119-100 | OREX-800098-0 | (+4 more),OREX-800029-0,OREX-501006-0
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:BNN0001AB'",Source: Core module,2026-09-06,sample,,Y,Y,Y,,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Organic matter | Bulk regolith or soil | Meteorite (bulk) | Ice or hydrate | Synthetic analogue | N/A | None,Source: Core module,2026-09-06,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,,N,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-09-06,defines: sampling unit,,Y,Y,Y,,N,N,N,N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,As-received chip or fragment | Pressed pellet | Loose powder in cup | Sieved size fraction | Polished section | Thin section (unmounted) | Particulate on substrate | Dried under vacuum | Heated / dehydrated | N/A | None,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Sample Heated,Whether the sample was heated during measurement. Record 'N/A' where the procedure does not control sample temperature.,N/A,Basic,Controlled list / Text,Yes | No | N/A | None,,2026-09-06,sample,,Y,Y,Y,,N,N,N,N
Vacuum Exposed Sample,"Whether this sample was exposed to vacuum before or during measurement, which alters adsorbed water and therefore the spectrum.",N/A,Basic,Controlled list / Text,Yes | No | N/A | None,,2026-09-06,sample,Adsorbed water dominates the 3 um region; whether the sample saw vacuum is needed to interpret it.,Y,Y,Y,,N,N,N,N
Sampling Unit Selection Criteria,"The rules governing which sampling unit(s) within a sample are selected for analysis, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for, and from Sampling Unit, which names the kind of subdivision one row of reported values corresponds to: this field states how, within such a sample, the unit actually analysed is picked out.",Basic,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the sampling unit to be analysed, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,sample,,Y,Y,Y,,N,N,N,N
,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific (Nicolet) | Bruker | ASD / Malvern Panalytical | Agilent | PerkinElmer | Shimadzu | Analytik Jena | Custom-built | Unknown | N/A | None,Source: Core module,2026-09-06,(none),,Y,Y,Y,,Thermo Fisher Scientific (Nicolet),Custom-built,Bruker,JEOL
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Nicolet iS50' | 'Bruker Vertex 70' | 'ASD FieldSpec 4'",Source: Core module,2026-09-06,(none),,Y,Y,Y,,Thermo/Nicolet Nexus 870 FTIR,Custom bi-directional,Bruker LUMOS FTIR microscope,JEOL 2500SE
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'OMNIC 9.2' | 'OPUS 8.5'",Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'OMNIC 9.2' | 'ENVI 5.6' | 'Python 3.11 / spectral 0.23'",Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Detector,Detector fitted to the spectrometer for this procedure.,Basic,Read-Only,Controlled list / Text,MCT/A | MCT/B | DTGS | InSb | Si photodiode | Microbolometer | N/A | None,,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Beamsplitter,Beamsplitter fitted for this procedure; it sets the accessible spectral range. Record 'N/A' where the procedure uses no interferometer.,Basic,Read-Only,Controlled list / Text,KBr | CaF2 | ZnSe | Mylar | Quartz | N/A | None,,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Spectral Range Minimum,Short-wavelength (or low-wavenumber) limit the procedure acquires.,Basic,Read-Only,Numeric + unit,"e.g., '0.35 um' | '400 cm-1'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Spectral Range Maximum,Long-wavelength (or high-wavenumber) limit the procedure acquires.,Basic,Read-Only,Numeric + unit,"e.g., '25 um' | '4000 cm-1'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Spectral Resolution,Instrumental spectral resolution the procedure operates at.,Basic,Editable,Numeric + unit,"e.g., '4 cm-1' | '2 nm'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Spectral Sampling,Spacing between adjacent recorded spectral points. Distinct from resolution: sampling may oversample the instrumental resolution.,Advanced,Read-Only,Numeric + unit,"e.g., '2 cm-1' | '1 nm'",,2026-09-06,(none),Sampling and resolution are routinely conflated; recording both makes a spectrum re-usable.,Y,N,Y,,N,N,N,N
,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,,Source: Core module,2026-09-06,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability.",Y,Y,Y,,Spectral Point,Spectral Point,Spectral Point,Spectral Point
Measurement Type,Radiometric quantity the procedure reports.,Basic,Read-Only,Controlled list / Text,Reflectance (bidirectional) | Reflectance (biconical) | Reflectance (hemispherical) | Emissivity | Transmittance | Absorbance | N/A | None,,2026-09-06,(none),"Declares what the reported spectrum IS, which a consumer cannot infer from the file.",Y,Y,Y,,N,N,N,N
Measurement Environment,Atmosphere the measurement chamber is held in.,Basic,Editable,Controlled list / Text,Ambient air | Purged (dry N2) | Purged (dry air) | Vacuum | Simulated planetary | N/A | None,,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Spot Size,"Diameter of the analysed area for a point measurement, or the pixel footprint for a map.",Basic,Editable,Numeric + unit,"e.g., '250 um' | '50 um'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Number of Scans,Interferograms co-added per reported spectrum.,Basic,Editable,Integer,"e.g., '256' | '512'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Incidence Angle,"Angle of the illumination source from the sample surface normal, for this measurement.",N/A,Basic,Numeric (degrees),"e.g., '30'",,2026-09-06,sample > sampling unit,"Reflectance is geometry-dependent; a spectrum is not comparable without i, e and g.",Y,Y,Y,,N,N,N,N
Emission Angle,"Angle of the detector from the sample surface normal, for this measurement.",N/A,Basic,Numeric (degrees),"e.g., '0'",,2026-09-06,sample > sampling unit,,Y,Y,Y,,N,N,N,N
Phase Angle,"Angle between illumination and detection directions, for this measurement.",N/A,Advanced,Numeric (degrees),"e.g., '30'",,2026-09-06,sample > sampling unit,,Y,Y,Y,,N,N,N,N
Sample Temperature,Sample temperature during this measurement.,N/A,Basic,Numeric (K),"e.g., '300' | '350'",,2026-09-06,sample > sampling unit,,Y,Y,Y,,N,N,N,N
Environmental Pressure,Chamber pressure during the session.,N/A,Advanced,Numeric (mbar),"e.g., '1013' | '1e-5'",,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,defines: reported property,,Y,Y,Y,,Wavelength (nm) (nm) | Reflectance | Reflectance (Reflectance) | Standard Deviation,Wavelength (nm) (nm) | Reflectance | Standard Deviation | Reflectance (Reflectance) | Standard Deviation (Reflectance),Wavenumber (cm-1) (cm-1) | Reflectance (Reflectance),wavenumber (3999.49) | Clays (Percent transmission) | dolomite (Percent transmission) | calcite (Percent transmission) | MgPO4 (Percent transmission)
,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N
Emissivity Maximum Fit Region Minimum,Short-wavelength limit of the window over which the emissivity maximum is fitted. Record 'N/A' where Measurement Type is not Emissivity.,Advanced,Editable,Numeric + unit,"e.g., '8 um' | 'N/A'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Emissivity Maximum Fit Region Maximum,Long-wavelength limit of the window over which the emissivity maximum is fitted. Record 'N/A' where Measurement Type is not Emissivity.,Advanced,Editable,Numeric + unit,"e.g., '12 um' | 'N/A'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Emissivity Maximum,Fitted maximum emissivity (Christiansen feature) for this measurement. Record 'N/A' where Measurement Type is not Emissivity.,N/A,Advanced,Numeric + unit,"e.g., '0.98' | 'N/A'",,2026-09-06,sample > sampling unit,"A reported RESULT, not an acquisition setting - it belongs to the analysis, not the procedure.",Y,N,Y,,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-09-06,reported property,,Y,Y,Y,,N,N,N,N
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N
Calibration Standards,"Reference materials measured to calibrate the reported quantity, with source.",Basic,Editable,Text (free),"e.g., 'Infragold diffuse gold standard (Labsphere)' | 'NIST SRM 1921b'",,2026-09-06,(none),,Y,N,Y,,N,N,N,N
Noise Uncertainty,Noise-equivalent uncertainty on the reported spectrum for this measurement.,N/A,Advanced,Numeric + unit,"e.g., '0.002 reflectance units'",,2026-09-06,sample > sampling unit,,Y,N,Y,,N,N,N,N
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
,,,,,,,,,,,,,,,,,
