Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,ADA n=13 | Golish2024 | NASA Johnson Space Center | Quantitative Reflectance Imaging System
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-09-06,(none),,,N
,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'OREX-803119-102' | 'Murchison chip 4b'",Source: Core module,2026-09-06,defines: sample,The analysis record corresponds to one session and may cover several samples.,,OREX-800013-0 | OREX-800012-0 | OREX-800010-0 | (+1 more)
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:BNN0001AB'",Source: Core module,2026-09-06,sample,,,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Organic matter | Bulk regolith or soil | Meteorite (bulk) | Ice or hydrate | Synthetic analogue | N/A | None,Source: Core module,2026-09-06,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-09-06,defines: sampling unit,,,N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,As-received in sample tray | Loose particulate on substrate | Single particle mounted | Polished section | Dried under vacuum | N/A | None,Source: Core module,2026-09-06,(none),,,N
Sampling Unit Selection Criteria,"The rules governing which sampling unit(s) within a sample are selected for analysis, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for, and from Sampling Unit, which names the kind of subdivision one row of reported values corresponds to: this field states how, within such a sample, the unit actually analysed is picked out.",Basic,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,(none),,,N
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the sampling unit to be analysed, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-06,sample,,,N
,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Custom-built | NASA Johnson Space Center | Unknown | N/A | None,Source: Core module,2026-09-06,(none),,,Custom-built
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Quantitative Reflectance Imaging System'",Source: Core module,2026-09-06,(none),,,Quantitative Reflectance Imaging System
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'QRIS acquisition control v1.0'",Source: Core module,2026-09-06,(none),,,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'QRIS calibration pipeline v2.1' | 'Python 3.11'",Source: Core module,2026-09-06,(none),,,N
Focal Length,Focal length of the imaging lens used by this procedure.,Basic,Read-Only,Numeric (mm),"e.g., '50'",,2026-09-06,(none),,,N
Illumination Colour(s),"Illumination wavelength band(s) the procedure images under. Record every band acquired, in the order acquired.",Basic,Read-Only,Controlled list / Text,Blue | Green | Red | Near-infrared | Broadband white | Ultraviolet | N/A | None,,2026-09-06,(none),Reflectance is meaningless without the band it was measured in.,,N
,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,Reflectance imaging,Source: Core module,2026-09-06,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability.",,N
Illumination Level,Illumination intensity setting used for the exposure.,Basic,Editable,Numeric (%),"e.g., '75'",,2026-09-06,(none),,,N
Exposure Time,Detector exposure time per frame.,Basic,Editable,Numeric (ms),"e.g., '120'",,2026-09-06,(none),,,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,defines: reported property,,,N
,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-09-06,reported property,,,N
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., 'ICDD PDF-4+ 2024 reference patterns'",Source: Core module,2026-09-06,(none),,,N
,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N
Reflectance Standard,Reflectance standard imaged to convert raw counts to calibrated reflectance.,Basic,Editable,Text (free),"e.g., 'Spectralon 99% diffuse reflectance target'",,2026-09-06,(none),,,N
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,Source: Core module,2026-09-06,(none),,,N
,,,,,,,,,,,
