Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Map Area,N/A,Basic,Numeric + unit,,flagged,,analysis-instance (needs mapping)
Diffracting Crystal,Basic,Read-Only,Controlled list,$MethodDefinition.ada:diffractingCrystal,inferred,divergent,
WDS Spectrometer Channel,Advanced,Read-Only,Integer,$MethodDefinition.schema:additionalProperty[schema:name='WDS Spectrometer Channel'].schema:value,inferred,divergent,
Sequence,Advanced,Read-Only,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Sequence'].schema:value,inferred,divergent,
Proportional Counter / Detector,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Proportional Counter Detector'].schema:value,inferred,divergent,
WDS PHA Setting,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='WDS PHA Setting'].schema:value,inferred,divergent,
Peak Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:peakCountingTime,inferred,divergent,
Background Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:backgroundCountingTime,inferred,divergent,
Background Position(s),Advanced,Editable,Numeric + label,$MethodDefinition.schema:additionalProperty[schema:name='Background Position s'].schema:defaultValue,inferred,divergent,
Background Position(s),Advanced,Editable,Numeric + label,$Dataset.schema:additionalProperty[schema:name='Background Position s'].schema:value,inferred,divergent,
CL Acquisition Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:clAcquisitionMode,inferred,shared,
CL Wavelength Range,Basic,Read-Only,Numeric pair (nm),$MethodDefinition.ada:clWavelengthRange,inferred,shared,
CL Grating,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Grating'].schema:value,inferred,divergent,
CL Integration Time,Basic,Editable,Numeric + unit,$MethodDefinition.ada:clIntegrationTime,inferred,shared,
Sample Tilt Angle,Basic,Read-Only,Numeric (degrees),$MethodDefinition.ada:sampleTiltAngle,inferred,shared,
EBSD Step Size,Basic,Editable,Numeric + unit,$MethodDefinition.ada:ebsdStepSize,inferred,divergent,
EBSD Frame Time,Advanced,Editable,Numeric (ms),$MethodDefinition.schema:additionalProperty[schema:name='EBSD Frame Time'].schema:defaultValue,inferred,divergent,
EBSD Frame Time,Advanced,Editable,Numeric (ms),$Dataset.schema:additionalProperty[schema:name='EBSD Frame Time'].schema:value,inferred,divergent,
EBSD Phase List,Basic,Editable,Text (free),$MethodDefinition.ada:ebsdPhaseList,inferred,divergent,
Protective Coating Deposition,Basic,Editable,Text (free),$MethodDefinition.ada:protectiveCoatingDeposition,inferred,shared,
Coarse Milling Conditions,Basic,Editable,Text (free),$MethodDefinition.ada:coarseMillingConditions,inferred,shared,
Fine Polishing Conditions,Basic,Editable,Text (free),$MethodDefinition.ada:finePolishingConditions,inferred,shared,
Target Foil Thickness,Basic,Editable,Numeric + unit,$MethodDefinition.ada:targetFoilThickness,inferred,shared,
Lift-out Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:liftOutMethod,inferred,shared,
Ion Milling Conditions (3D Tomography),Basic,Editable,Text (free),$MethodDefinition.ada:ionMillingConditions,inferred,shared,
Slice Thickness,Basic,Editable,Numeric (nm),$MethodDefinition.ada:sliceThickness,inferred,shared,
Voxel Size and Image Stack Dimensions,N/A,Basic,Text (free),,flagged,,analysis-instance (needs mapping)
Matrix Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:matrixCorrectionMethod,inferred,shared,
Mass Absorption Coefficients (MACs),Basic,Read-Only,Controlled list,$MethodDefinition.ada:massAbsorptionCoefficients,inferred,shared,
Background Correction Method,Basic,Editable,Controlled list,$MethodDefinition.ada:backgroundCorrectionMethod,inferred,divergent,
Time-Dependent Intensity Correction,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Time Dependent Intensity Correction'].schema:defaultValue,inferred,divergent,
Time-Dependent Intensity Correction,Advanced,Editable,Controlled list,$Dataset.schema:additionalProperty[schema:name='Time Dependent Intensity Correction'].schema:value,inferred,divergent,
Analyte Estimation Method,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Analyte Estimation Method'].schema:value,inferred,shared,
Halogen Correction on Oxygen,Advanced,Editable,Boolean,$MethodDefinition.schema:additionalProperty[schema:name='Halogen Correction on Oxygen'].schema:defaultValue,inferred,shared,
Halogen Correction on Oxygen,Advanced,Editable,Boolean,$Dataset.schema:additionalProperty[schema:name='Halogen Correction on Oxygen'].schema:value,inferred,shared,
EDS Spectral Processing Type,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='EDS Spectral Processing Type'].schema:value,inferred,shared,
Blank Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Blank Correction'].schema:defaultValue,inferred,divergent,
Blank Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Blank Correction'].schema:value,inferred,divergent,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Normalization Standards Based Correction'].schema:defaultValue,inferred,divergent,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Normalization Standards Based Correction'].schema:value,inferred,divergent,
WDS Dead Time Correction,Basic,Read-Only,Controlled list,$MethodDefinition.ada:wdsDeadTimeCorrection,inferred,shared,
EBSD Indexing Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ebsdIndexingMethod,inferred,divergent,
Crystal Structure Database,Basic,Editable,Text (free),$MethodDefinition.ada:crystalStructureDatabase,inferred,shared,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EBSD Pattern Quality Threshold'].schema:defaultValue,inferred,divergent,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='EBSD Pattern Quality Threshold'].schema:value,inferred,divergent,
3D Image Registration,Basic,Editable,Text (free),,flagged,,parse-fail: bad curie 'ada:3dImageRegistration' in segment 'ada:3dImageRegistration'
3D Segmentation Method,Basic,Editable,Text (free),,flagged,,parse-fail: bad curie 'ada:3dSegmentationMethod' in segment 'ada:3dSegmentationMethod'
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardName,inferred,shared,
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterial[],inferred,shared,
Interference Corrections Applied,Basic,Read-Only,Boolean,$MethodDefinition.ada:interferenceCorrectionsApplied,inferred,shared,
Interfering Elements,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Interfering Elements'].schema:value,inferred,shared,
Interference Correction Standard,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Interference Correction Standard'].schema:value,inferred,shared,
Detection Limit,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Detection Limit Method,Advanced,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,shared,
Analytical Precision,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Analytical Precision'].schema:value,inferred,shared,
Analytical Accuracy,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Analytical Accuracy'].schema:value,inferred,shared,
Counting Statistics Error,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Counting Statistics Error'].schema:value,inferred,shared,
EDS Dead Time,N/A,Basic,Numeric (%),,flagged,,analysis-instance (needs mapping)
EBSD Mean Angular Deviation,N/A,Basic,Numeric (degrees),,flagged,,analysis-instance (needs mapping)
EBSD Indexing Rate,N/A,Basic,Numeric (%),,flagged,,analysis-instance (needs mapping)
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:defaultValue,inferred,shared,
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:value,inferred,shared,
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,inferred,shared,
