Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Chromatographic Separation Applied,Basic,Read-Only,Controlled list / Text,,module,shared,placement owned by Module SolutionIntroduction,
Isotope Dilution Spike,Basic,Read-Only,Text (free),,module,shared,placement owned by Module SolutionIntroduction,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:model.schema:name,authored,shared,instrument selector added; ICPMS is the only instrument this sidecar declares,
ICP-MS Type,Basic,Read-Only,Controlled list,,module,shared,placement owned by Module ICPMS,
Instrument Serial Number or Lab Identifier,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Instrument Serial Number or Lab Identifier'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Instrument Serial Number or Lab Identifier,Advanced,Editable,Text (free),,module,shared,placement owned by Module ICPMS,
Torch Type,Advanced,Read-Only,Text (free),,module,shared,placement owned by Module ICPMS,
Interface Cone Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Configuration'].schema:value,authored,shared,,
Sampler and Skimmer Cone Material,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Sampler and Skimmer Cone Material'].schema:value,authored,shared,,
Torch Depth,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Torch Depth,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Guard Electrode,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data acquisition'].schema:additionalProperty[schema:name='Guard Electrode'].schema:value,inferred,shared,,
Mass Resolution Setting,Basic,Editable,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Mass Resolution Setting'].schema:value,inferred,divergent,,
Collision/Reaction Cell (CRC) Configuration,Basic,Read-Only,Controlled list / Text,,module,shared,placement owned by Module CollisionCell,monitored property
Nebulizer Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Type'].schema:value,authored,shared,,
Spray Chamber Type and Cooling Temperature,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Spray Chamber Type and Cooling Temperature'].schema:value,authored,shared,,
Desolvation System,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Desolvation System'].schema:value,inferred,shared,,acquisition pass
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Acquisition Software,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Data Processing Software(s),Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
RF Power,Basic,Editable,Numeric (W),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
RF Power,Basic,Editable,Numeric (W),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Coolant (Plasma) Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:defaultValue,authored,shared,,
Coolant (Plasma) Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix),
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:defaultValue,authored,shared,,
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix),
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Make-up Gas and Flow Rate,Advanced,Editable,Numeric (L/min) / Text,$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Make-up Gas and Flow Rate'].schema:value,authored,shared,,
Make-up Gas and Flow Rate,Advanced,Editable,Numeric (L/min) / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Make-up Gas and Flow Rate'].schema:defaultValue,authored,shared,,
Plasma Thermal Mode,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Plasma Thermal Mode'].schema:value,authored,shared,"read-only: fixed protocol value, not a default",acquisition pass
Target Species,Basic,Editable,Text (free),,module,shared,placement owned by Module Analyte,defines: target species
Analysis Sequence,Basic,Editable,Text (free),$MethodDefinition.ada:sampleSequenceDesign,inferred,shared,,
Wash Time Between Samples,Basic,Read-Only,Numeric (s),,module,shared,placement owned by Module SolutionIntroduction,
Collision Gas Type,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Collision Gas Type'].schema:value,authored,shared,,monitored property
Collision Gas Flow Rate,Basic,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Gas Flow Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Collision Gas Flow Rate,Basic,Editable,Numeric (mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Gas Flow Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Cell Exit Discrimination Voltage,Basic,Editable,Numeric (V),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Cell Exit Discrimination Voltage'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Cell Exit Discrimination Voltage,Basic,Editable,Numeric (V),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Cell Exit Discrimination Voltage'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Reaction Gas Type,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Type'].schema:value,authored,shared,,monitored property
Reaction Gas Flow Rate,Advanced,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Flow Rate'].schema:defaultValue,authored,shared,dual-home decision: protocol default,
Reaction Gas Flow Rate,Advanced,Editable,Numeric (mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Flow Rate'].schema:value,authored,shared,dual-home decision: analysis-tier value,
Internal Standard Element,Basic,Read-Only,Text (free),,module,shared,placement owned by Module ICPMS,acquisition pass
Internal Standard Concentration,Advanced,Read-Only,Numeric (µg/L),$MethodDefinition.schema:additionalProperty[schema:name='Internal Standard Concentration'].schema:value,inferred,shared,,
Oxide Production Method and Threshold,Basic,Read-Only,Text (free),,module,shared,placement owned by Module ICPMS,
Oxide Production,N/A,Basic,Text (free),,module,shared,placement owned by Module ICPMS,
Calibration Strategy per Target Species,Basic,Read-Only,Text (free),$MethodDefinition.ada:targetSpeciesTemplate.ada:targetSpeciesColumns[],keyed,shared,"keyed to analyte: the strategy is per analyte, so it is a column of the analyte table. Basic/Read-Only, so the procedure fixes it and an analysis cannot revise it -- single-homed on $MethodDefinition, no $Dataset row. Module_ICPMS declares the same path, which is a keyed-table column array and therefore not composable through allOf, so each consumer carries its own row and mints its own column def.",target species
Signal Integration Interval Method,Basic,Read-Only,Controlled list / Text,,module,shared,placement owned by Module ICPMS,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,inferred,shared,,
Blank / Background Correction Method,Basic,Read-Only,Controlled list / Text,,module,shared,placement owned by Module ICPMS,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Spike / Outlier Filtering Approach'].schema:value,authored,shared,,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Spike / Outlier Filtering Approach'].schema:defaultValue,authored,shared,,
Spectral Interference Corrections Applied,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,Keyed By: channel (pilot),
Interfering Species,Basic,Read-Only,Text (free),$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,Keyed By: channel (pilot),monitored property
Interference Correction Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,Keyed By: channel (pilot),monitored property
Isotope Dilution Data Reduction Method,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Isotope Dilution Data Reduction Method'].schema:value,authored,shared,divergence decision applied,
Memory Effect Mitigation,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:value,authored,shared,,
Memory Effect Mitigation,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:defaultValue,authored,shared,,
Uncertainty Propagation Method,Advanced,Editable,Text (free),,module,shared,placement owned by Module ICPMS,reported property
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),,module,shared,placement owned by Module CompositionQC,reported property
Primary Calibration Standard Name,Basic,Editable,Text (free),,module,divergent,placement owned by Module CompositionQC,target species
Calibration Standard Measurement Frequency,Basic,Read-Only,Text (free),,module,shared,placement owned by Module ICPMS,
Secondary Reference Materials,Basic,Editable,Text (free),,module,divergent,placement owned by Module CompositionQC,defines: standard
Detection Limit,Advanced,Basic,Numeric + unit / Text,,module,shared,placement owned by Module CompositionQC,reported property
Detection Limit Method,Basic,Read-Only,Controlled list / Text,,module,shared,placement owned by Module CompositionQC,reported property
Limit of Quantification (LOQ) Method,Advanced,Basic,Controlled list / Text,,module,shared,placement owned by Module ICPMS,reported property
Analytical Accuracy and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:targetSpeciesTemplate.ada:targetSpeciesColumns[],inferred,shared,,standard x reported property
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Sample Name,N/A,Basic,Text (free),,module,,placement owned by Module Core,defines: sample
Sampling Unit,Basic,Basic,Controlled list / Text,,module,module,covered by a composed module; the module owns the placement,defines: sampling unit
Analytical Mode,Basic,Read-Only,Controlled list,,module,,placement owned by Module Core,
Reported Variables and Units,Basic,Read-Only,Text (free),,module,,placement owned by Module Core (reviewer settled the reported-property list as $MethodDefinition.ada:reportedProperties[]),defines: reported property
Uncertainty Level,Basic,Read-Only,Controlled list / Text,,module,module,covered by a composed module; the module owns the placement,
Calibration Factor and Determination Method,Basic,Editable,Text (free),,module,module,covered by a composed module; the module owns the placement,reported property
Procedural Blank Level,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.ada:proceduralBlankLevel,authored,,shared analysis-instance row,target species
Analysis Inclusion and Rejection Criteria,Basic,Basic,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Analysis Inclusion and Rejection Criteria'].schema:defaultValue,authored,,data-reduction step parameter,
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,authored,,"data-reduction step parameter, following geochronTAPP",
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,authored,,"data-reduction step parameter, following geochronTAPP",
Goodness-of-Fit or Dispersion Statistic,N/A,Basic,Text (free),,module,module,covered by a composed module; the module owns the placement,reported property
Session Identifier,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Faraday Cup Array Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collector'].schema:additionalProperty[schema:name='Faraday Cup Array Configuration'].schema:value,authored,,instrument cup-array part,
Faraday Cup Amplifier Resistor Values,Basic,Read-Only,Text (free),$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,"monitored-property column. CORRECTS an earlier branch-1 placement: I had reported that no 'defines: monitored property' row existed, but the definer is the composite 'defines: monitored property per target species' -- Monitored Masses here, per section 4 of Proposal_Monitored_Property_2026-09-10, which states the definer names stay technique-specific (Monitored Masses / Monitored Elements / EELS Edges) while the key stays uniform. Every table carrying these rows has that definer, authored and placed, so branch 1 never applied. channelColumns is where keyed_path routes 'channel', the former name of this key, and is the most-used placement for it in the corpus (45 rows)",monitored property
Faraday Cup Gain Calibration Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,"monitored-property column. CORRECTS an earlier branch-1 placement: I had reported that no 'defines: monitored property' row existed, but the definer is the composite 'defines: monitored property per target species' -- Monitored Masses here, per section 4 of Proposal_Monitored_Property_2026-09-10, which states the definer names stay technique-specific (Monitored Masses / Monitored Elements / EELS Edges) while the key stays uniform. Every table carrying these rows has that definer, authored and placed, so branch 1 never applied. channelColumns is where keyed_path routes 'channel', the former name of this key, and is the most-used placement for it in the corpus (45 rows)",monitored property
Collector Configuration,Basic,Read-Only,Text (free),,module,module,covered by a composed module; the module owns the placement,monitored property
Number of Blocks per Measurement,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Number of Blocks per Measurement'].schema:value,authored,,dual-home: procedure default + analysis-tier value,
Number of Blocks per Measurement,Basic,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Number of Blocks per Measurement'].schema:defaultValue,authored,,dual-home: procedure default + analysis-tier value,
Number of Cycles per Block,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Number of Cycles per Block'].schema:value,authored,,"off-step dual home, copied verbatim from LA-MC-ICPMS_v78 where the same pass-keyed item is already placed; Basic/Editable needs both the procedure default and the analysis-tier value",acquisition pass
Number of Cycles per Block,Basic,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Number of Cycles per Block'].schema:defaultValue,authored,,"off-step dual home, copied verbatim from LA-MC-ICPMS_v78 where the same pass-keyed item is already placed; Basic/Editable needs both the procedure default and the analysis-tier value",acquisition pass
Integration Time per Cycle,Basic,Editable,Numeric (s),$MethodDefinition.ada:monitoredPropertyTemplate.ada:monitoredPropertyColumns[],authored,,"monitored-property column. CORRECTS an earlier branch-1 placement: I had reported that no 'defines: monitored property' row existed, but the definer is the composite 'defines: monitored property per target species' -- Monitored Masses here, per section 4 of Proposal_Monitored_Property_2026-09-10, which states the definer names stay technique-specific (Monitored Masses / Monitored Elements / EELS Edges) while the key stays uniform. Every table carrying these rows has that definer, authored and placed, so branch 1 never applied. channelColumns is where keyed_path routes 'channel', the former name of this key, and is the most-used placement for it in the corpus (45 rows)",monitored property
Baseline Measurement Approach,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Baseline Measurement Approach'].schema:value,authored,,procedure-level additional property,
Peak Flatness Method and Threshold,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Peak Flatness Method and Threshold'].schema:value,authored,,data-reduction step parameter,
Peak Flatness,N/A,Basic,Text (free),,module,module,covered by a composed module; the module owns the placement,
Mass Bias Correction Strategy,Basic,Read-Only,Text (free),$MethodDefinition.ada:massBiasCorrectionStrategy,authored,,"bare ada: property, identical in all six LA sidecars",
Mass Fractionation Law,Basic,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Mass Fractionation Law'].schema:value,authored,,procedure-level additional property,
Double-Spike Isotope Pair,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Isotope Pair'].schema:value,authored,,procedure-level additional property,
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:value,authored,,dual-home: procedure default + analysis-tier value,
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:defaultValue,authored,,dual-home: procedure default + analysis-tier value,
Double-Spike Inversion Algorithm,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Double-Spike Inversion Algorithm'].schema:value,authored,,data-reduction step parameter,
Internal Normalization Element and Isotope Ratio,Basic,Read-Only,Text (free),,module,module,covered by a composed module; the module owns the placement,
Isotope Ratio Reported,Basic,Read-Only,Text (free),$MethodDefinition.schema:variableMeasured[schema:name='Isotope Ratio Reported'].schema:value,authored,,"reported-property consumer. Its seven siblings in this table are module-owned (CompositionQC, ICPMS, Aggregation) but Module_MCICPMS.csv -- the module's field roster, which lives upstream in the tapp submodule -- does not list this item, so it cannot be placed there from our side; a module sidecar supplies paths for fields the module CSV declares, not new fields. Placed on the technique instead, which is exact anyway: the item appears in Solution_MC-ICP-MS and no other table, across 42 revisions v11-v79. Paths from bootstrap_schemapaths.keyed_path, tier-routed to a schema:value leaf on both roots because the analysis tier is Read-Only",reported property
Isotope Ratio Reported,Basic,Read-Only,Text (free),$Dataset.schema:variableMeasured[schema:name='Isotope Ratio Reported'].schema:value,authored,,"reported-property consumer. Its seven siblings in this table are module-owned (CompositionQC, ICPMS, Aggregation) but Module_MCICPMS.csv -- the module's field roster, which lives upstream in the tapp submodule -- does not list this item, so it cannot be placed there from our side; a module sidecar supplies paths for fields the module CSV declares, not new fields. Placed on the technique instead, which is exact anyway: the item appears in Solution_MC-ICP-MS and no other table, across 42 revisions v11-v79. Paths from bootstrap_schemapaths.keyed_path, tier-routed to a schema:value leaf on both roots because the analysis tier is Read-Only",reported property
delta or epsilon Value Reference Standard,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.ada:deltaOrEpsilonValueReferenceStandard,authored,,"tier-determined, not guessed: under the 'target species' key the home follows the tier pair with no exceptions -- P=N/A A=Basic goes to $Dataset.prov:wasGeneratedBy.ada:<camel> (12 of 12, Procedural Blank Level) while every procedure-level tier goes to analyteColumns (30 of 30). This row is P=N/A A=Basic. Property name from build_tapp.camel(), the same function the generator uses",target species
Error Correlation Between Reported Quantities,Advanced,Basic,Numeric (dimensionless) / Text,$MethodDefinition.schema:additionalProperty[schema:name='Error Correlation Between Reported Quantities'].schema:value,authored,,"dual home, identical in all three *-UPb sidecars that place it; Advanced/Basic needs both the procedure property and the analysis-tier value",pair: reported property
Error Correlation Between Reported Quantities,Advanced,Basic,Numeric (dimensionless) / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Error Correlation Between Reported Quantities'].schema:value,authored,,"dual home, identical in all three *-UPb sidecars that place it; Advanced/Basic needs both the procedure property and the analysis-tier value",pair: reported property
Internal (Within-Measurement) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:targetSpeciesTemplate.ada:targetSpeciesColumns[],authored,,"keyed-value column, by analogy under the same Rule 7 key: every placed row keyed 'sample > sampling unit x reported property' in the corpus (12 of 12, Counting Statistics Error) uses analyteColumns, and this field's near-twin Within-Session Analytical Precision and Assessment Method takes it under the neighbouring 'standard x reported property' key",sample > sampling unit x reported property
Between-Session (Long-Term) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:targetSpeciesTemplate.ada:targetSpeciesColumns[],authored,,"keyed-value column. 7 of 8 placing sidecars use it, including BOTH nearest siblings (Solution_Q, Solution_SF); the lone outlier is LA-MC-ICPMS's bare ada:betweenSessionPrecision",standard x reported property
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:manufacturer.schema:name,authored,,"placement copied from this workbook's own Instrument Model row, substituting schema:manufacturer for schema:model",
