Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,,
Coupling Description,Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,,
Sample Preparation Method,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,,
Sample Preparation Method,Basic,Read-Only,Controlled list,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,,
Sample Preparation Details,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Sample Preparation Details'].schema:defaultValue,inferred,,
Sample Preparation Details,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Preparation Details'].schema:value,inferred,,
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,,
Sampling Unit,Basic,Basic,Controlled list / Text,$MethodDefinition.ada:samplingUnit,inferred,,
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,,
Target Selection Criteria,Basic,Editable,Text (free),$MethodDefinition.ada:targetSelectionCriteriaDefault,inferred,,
Target Selection Criteria,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Target Selection Criteria'].schema:value,inferred,,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:defaultValue,inferred,,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:value,inferred,,
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:manufacturer.schema:name,authored,,instrument identity
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:model.schema:name,authored,,instrument identity
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='Electron source'].schema:description,authored,,instrument component
Aberration Corrector,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='AberrationCorrector'].schema:description,authored,,instrument component
Monochromator,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='Monochromator'].schema:description,authored,,instrument component
Sample Holder,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Sample Holder'].schema:defaultValue,inferred,,
Sample Holder,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Holder'].schema:value,inferred,,
Spectroscopic Detector(s),Basic,Editable,Controlled list,$MethodDefinition.ada:spectroscopicDetectorDefault,inferred,,"kept as a plan-level property: this is which detectors are FITTED, not one component's description; revisit if it should become hasPart entries"
Spectroscopic Detector(s),Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Spectroscopic Detector(s)'].schema:value,inferred,,"kept as a plan-level property: this is which detectors are FITTED, not one component's description; revisit if it should become hasPart entries"
EDS Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='EDSDetector'].schema:description,authored,,instrument component
EELS Spectrometer,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='EELSSpectrometer'].schema:description,authored,,instrument component
Imaging and Diffraction Detectors,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='ImagingDetector'].schema:description,authored,,instrument component
4D-STEM Detector,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='4DSTEMDetector'].schema:description,authored,,instrument component
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,inferred,,
Acquisition Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:toolRole='acquisition'].schema:name,inferred,,
SAED Pattern Simulation Software,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='SAED Pattern Simulation Software'].schema:defaultValue,inferred,,"candidate for bios:computationalTool[ada:toolRole=...]; only 'acquisition' and 'dataReduction' roles exist, so a new token is a vocabulary decision"
SAED Pattern Simulation Software,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='SAED Pattern Simulation Software'].schema:value,inferred,,"candidate for bios:computationalTool[ada:toolRole=...]; only 'acquisition' and 'dataReduction' roles exist, so a new token is a vocabulary decision"
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,inferred,,
Data Reduction Software,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[ada:toolRole='dataReduction'].schema:name,inferred,,
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],inferred,,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].ada:acceleratingVoltageDefault,authored,,dual-home: instrument default + per-analysis value
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='TEM'].ada:acceleratingVoltage,authored,,dual-home: instrument default + per-analysis value
Analytical Sub-mode,Basic,Editable,Controlled list,$MethodDefinition.ada:analyticalSubModeDefault,inferred,,
Analytical Sub-mode,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Analytical Sub-mode'].schema:value,inferred,,
TEM Objective Aperture,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='TEM Objective Aperture'].schema:defaultValue,inferred,,
TEM Objective Aperture,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='TEM Objective Aperture'].schema:value,inferred,,
EFTEM Energy Window,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EFTEM Energy Window'].schema:defaultValue,inferred,,
EFTEM Energy Window,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EFTEM Energy Window'].schema:value,inferred,,
HAADF Collection Angles,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='HAADF Collection Angles'].schema:defaultValue,inferred,,
HAADF Collection Angles,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='HAADF Collection Angles'].schema:value,inferred,,
Convergence Semi-Angle,Basic,Read-Only,Numeric (mrad),$MethodDefinition.ada:convergenceSemiAngle,inferred,,
STEM Probe Diameter,Advanced,Editable,Numeric (nm),$MethodDefinition.schema:additionalProperty[schema:name='STEM Probe Diameter'].schema:defaultValue,inferred,,
STEM Probe Diameter,Advanced,Editable,Numeric (nm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='STEM Probe Diameter'].schema:value,inferred,,
STEM Probe Current,Advanced,Editable,Numeric (pA or nA),$MethodDefinition.schema:additionalProperty[schema:name='STEM Probe Current'].schema:defaultValue,inferred,,
STEM Probe Current,Advanced,Editable,Numeric (pA or nA),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='STEM Probe Current'].schema:value,inferred,,
STEM Dwell Time per Pixel,Basic,Editable,Numeric (ms),$MethodDefinition.ada:stemDwellTimePerPixelDefault,inferred,,
STEM Dwell Time per Pixel,Basic,Editable,Numeric (ms),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='STEM Dwell Time per Pixel'].schema:value,inferred,,
STEM Scan Dimensions,Advanced,Editable,Numeric pair (pixels x pixels),$MethodDefinition.schema:additionalProperty[schema:name='STEM Scan Dimensions'].schema:defaultValue,inferred,,
STEM Scan Dimensions,Advanced,Editable,Numeric pair (pixels x pixels),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='STEM Scan Dimensions'].schema:value,inferred,,
STEM Frame Averaging,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='STEM Frame Averaging'].schema:defaultValue,inferred,,
STEM Frame Averaging,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='STEM Frame Averaging'].schema:value,inferred,,
Camera Length,Basic,Editable,Numeric (mm),$MethodDefinition.ada:cameraLengthDefault,inferred,,
Camera Length,Basic,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Camera Length'].schema:value,inferred,,
Selected-Area Aperture Size,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Selected-Area Aperture Size'].schema:defaultValue,inferred,,
Selected-Area Aperture Size,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Selected-Area Aperture Size'].schema:value,inferred,,
Precession Angle,Advanced,Editable,Numeric (degrees),$MethodDefinition.schema:additionalProperty[schema:name='Precession Angle'].schema:defaultValue,inferred,,
Precession Angle,Advanced,Editable,Numeric (degrees),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Precession Angle'].schema:value,inferred,,
4D-STEM Scan Grid and Area,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='4D-STEM Scan Grid and Area'].schema:defaultValue,inferred,,
4D-STEM Scan Grid and Area,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='4D-STEM Scan Grid and Area'].schema:value,inferred,,
4D-STEM Dwell Time per Probe Position,Advanced,Editable,Numeric (ms),$MethodDefinition.schema:additionalProperty[schema:name='4D-STEM Dwell Time per Probe Position'].schema:defaultValue,inferred,,
4D-STEM Dwell Time per Probe Position,Advanced,Editable,Numeric (ms),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='4D-STEM Dwell Time per Probe Position'].schema:value,inferred,,
Diffraction Camera Length Calibration Method,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Diffraction Camera Length Calibration Method'].schema:defaultValue,inferred,,
Diffraction Camera Length Calibration Method,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Diffraction Camera Length Calibration Method'].schema:value,inferred,,
EDS Acquisition Mode,Basic,Editable,Controlled list,$MethodDefinition.ada:edsAcquisitionModeDefault,inferred,,
EDS Acquisition Mode,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Acquisition Mode'].schema:value,inferred,,
EDS Live Time per Point or Pixel,Advanced,Editable,Numeric (s),$MethodDefinition.schema:additionalProperty[schema:name='EDS Live Time per Point or Pixel'].schema:defaultValue,inferred,,
EDS Live Time per Point or Pixel,Advanced,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Live Time per Point or Pixel'].schema:value,inferred,,
EDS Energy Range,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EDS Energy Range'].schema:defaultValue,inferred,,
EDS Energy Range,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Energy Range'].schema:value,inferred,,
EDS Quantification Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:edsQuantificationMethod,inferred,,
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],inferred,,
Reported Variables and Units,Basic,Read-Only,Text (free),$MethodDefinition.ada:reportedPropertyTemplate.ada:defaultReportedProperties[],authored,,follows the geochronTAPP reported-property pilot — revisit with that workstream
EELS Acquisition Mode,Basic,Editable,Controlled list,$MethodDefinition.ada:eelsAcquisitionModeDefault,inferred,,
EELS Acquisition Mode,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Acquisition Mode'].schema:value,inferred,,
EELS Edges,Basic,Editable,Text (free),$MethodDefinition.ada:eelsEdgesDefault,inferred,,
EELS Edges,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Edges'].schema:value,inferred,,
EELS Collection Semi-Angle,Basic,Read-Only,Numeric (mrad),$MethodDefinition.ada:eelsCollectionSemiAngle,inferred,,
EELS Energy Dispersion,Advanced,Read-Only,Numeric (eV/channel),$MethodDefinition.schema:additionalProperty[schema:name='EELS Energy Dispersion'].schema:value,inferred,,
EELS Energy Resolution,Advanced,Read-Only,Numeric (eV FWHM),$MethodDefinition.schema:additionalProperty[schema:name='EELS Energy Resolution'].schema:value,inferred,,
EELS Acquisition Time per Spectrum,Basic,Editable,Numeric (s),$MethodDefinition.ada:eelsAcquisitionTimePerSpectrumDefault,inferred,,
EELS Acquisition Time per Spectrum,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Acquisition Time per Spectrum'].schema:value,inferred,,
EELS Energy Loss Range,Basic,Editable,Text (free),$MethodDefinition.ada:eelsEnergyLossRangeDefault,inferred,,
EELS Energy Loss Range,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Energy Loss Range'].schema:value,inferred,,
Phase Identification Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:phaseIdentificationMethod,inferred,,
4D-STEM Orientation Mapping Method,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='4D-STEM Orientation Mapping Method'].schema:value,inferred,,
EELS Background Subtraction Method,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='EELS Background Subtraction Method'].schema:defaultValue,inferred,,
EELS Background Subtraction Method,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Background Subtraction Method'].schema:value,inferred,,
EELS Plural Scattering Correction,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='EELS Plural Scattering Correction'].schema:defaultValue,inferred,,
EELS Plural Scattering Correction,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Plural Scattering Correction'].schema:value,inferred,,
EDS Spectral Processing Type,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='EDS Spectral Processing Type'].schema:value,inferred,,
Image Processing Methods Applied,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Image Processing Methods Applied'].schema:defaultValue,inferred,,
Image Processing Methods Applied,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Image Processing Methods Applied'].schema:value,inferred,,
Specimen Thickness Determination Method,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Specimen Thickness Determination Method'].schema:defaultValue,inferred,,
Specimen Thickness Determination Method,Advanced,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Specimen Thickness Determination Method'].schema:value,inferred,,
Calibration Factor and Determination Method,Basic,Editable,Text (free),$MethodDefinition.ada:calibrationFactorAndDeterminationMethodDefault,inferred,,
Calibration Factor and Determination Method,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Calibration Factor and Determination Method'].schema:value,inferred,,
Analysis Inclusion and Rejection Criteria,Basic,Basic,Text (free),$MethodDefinition.ada:analysisInclusionAndRejectionCriteria,inferred,,
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.ada:constantsAndReferenceValuesUsedDefault,inferred,,
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Constants and Reference Values Used'].schema:value,inferred,,
EDS Calibration Standard(s),Basic,Editable,Text (free),$MethodDefinition.ada:edsCalibrationStandardDefault,inferred,,
EDS Calibration Standard(s),Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Calibration Standard(s)'].schema:value,inferred,,
EELS Energy Calibration,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EELS Energy Calibration'].schema:defaultValue,inferred,,
EELS Energy Calibration,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Energy Calibration'].schema:value,inferred,,
Diffraction Calibration Reference,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Diffraction Calibration Reference'].schema:defaultValue,inferred,,
Diffraction Calibration Reference,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Diffraction Calibration Reference'].schema:value,inferred,,
EDS Detection Limit,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EDS Detection Limit'].schema:defaultValue,inferred,,
EDS Detection Limit,Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Detection Limit'].schema:value,inferred,,
EDS Counting Statistics / Accumulation Criterion,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EDS Counting Statistics / Accumulation Criterion'].schema:defaultValue,inferred,,
EDS Counting Statistics / Accumulation Criterion,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EDS Counting Statistics / Accumulation Criterion'].schema:value,inferred,,
EDS Dead Time,N/A,Basic,Numeric (%),,flagged,,analysis-instance (needs mapping)
EELS Sensitivity and Detection Limit,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EELS Sensitivity and Detection Limit'].schema:defaultValue,inferred,,
EELS Sensitivity and Detection Limit,Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EELS Sensitivity and Detection Limit'].schema:value,inferred,,
Goodness-of-Fit or Dispersion Statistic,N/A,Basic,Text (free),,flagged,,analysis-instance (needs mapping)
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,inferred,,
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,inferred,,
